epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.17073,2.01157,8.10288,1.00757,0.00052,0.5,0.02117,0.01799,1.51492,4.9517,1.1389,1.667e-05,1.667e-05,1.667e-05
2,10.0103,1.56867,5.54943,0.94023,0.00053,0.5,0.06633,0.05497,1.36247,4.76626,1.07795,4.95149e-05,4.95149e-05,4.95149e-05
3,14.7125,1.81001,6.40223,1.01931,0.00054,0.5,0.199,0.16745,1.28339,4.6973,1.03922,8.16997e-05,8.16997e-05,8.16997e-05
4,19.3023,1.72633,5.40507,1.01181,0.00112,0.57143,0.49759,0.37305,1.30431,4.60148,1.01401,0.000113224,0.000113224,0.000113224
5,23.9093,1.58147,6.11636,0.89558,0.00219,0.71429,0.49824,0.31134,1.38684,4.68984,1.02254,0.000144089,0.000144089,0.000144089
6,28.621,1.53134,5.19851,0.987,0.00207,0.71429,0.49822,0.35132,1.44702,4.75101,1.01411,0.000174293,0.000174293,0.000174293
7,33.2743,2.0577,6.35139,0.94548,0.00193,0.71429,0.49817,0.3254,1.4711,4.68338,1.04573,0.000203837,0.000203837,0.000203837
8,37.9102,1.60306,3.85231,0.97898,0.00187,0.71429,0.49814,0.27511,1.52504,4.65516,1.06025,0.000232722,0.000232722,0.000232722
9,42.4846,1.55794,4.2679,0.88828,0.00187,0.71429,0.49814,0.24425,1.504,4.57742,1.06519,0.000260946,0.000260946,0.000260946
10,47.1041,1.8028,3.80694,1.04712,0.00187,0.71429,0.49815,0.23803,1.44379,4.49864,1.07096,0.000288509,0.000288509,0.000288509
11,51.9134,1.77244,4.26982,0.89107,0.00188,0.71429,0.49815,0.33579,1.4898,4.56741,1.08174,0.000315413,0.000315413,0.000315413
12,56.4815,1.35112,3.63449,0.90799,0.00189,0.71429,0.49817,0.34817,1.59291,4.59582,1.07982,0.000341657,0.000341657,0.000341657
13,61.0697,1.44684,3.63735,0.87809,0.0019,0.71429,0.49818,0.32342,1.54899,4.53099,1.09528,0.00036724,0.00036724,0.00036724
14,65.9553,1.5166,3.92701,0.94006,0.00194,0.71429,0.49822,0.39799,1.53147,4.46855,1.10046,0.000392163,0.000392163,0.000392163
15,70.6744,1.50834,3.41161,0.94728,0.00248,0.78571,0.49893,0.34863,1.46554,4.33794,1.07074,0.000416427,0.000416427,0.000416427
16,75.3422,1.64289,3.16972,0.982,0.00314,0.85714,0.49992,0.24015,1.42134,4.36087,1.08006,0.00044003,0.00044003,0.00044003
17,79.987,1.65538,3.52545,0.89214,0.00329,0.85714,0.41667,0.19145,1.55666,4.31111,1.10331,0.000462973,0.000462973,0.000462973
18,84.6362,1.79122,3.50194,0.99017,0.00272,0.78571,0.41576,0.14175,1.57389,4.24799,1.08917,0.000485255,0.000485255,0.000485255
19,89.3485,1.57378,2.92897,0.92488,0.00379,0.92857,0.50099,0.29948,1.43501,4.40733,1.07924,0.000506878,0.000506878,0.000506878
20,94.0096,1.6416,3.22985,0.96569,0.00372,0.92857,0.50093,0.29937,1.3554,4.4444,1.08823,0.000527841,0.000527841,0.000527841
21,98.7755,1.42795,2.91897,0.91292,0.00353,0.92857,0.50073,0.24979,1.34157,4.50501,1.08107,0.000548143,0.000548143,0.000548143
22,103.662,1.63663,3.19938,0.97825,0.00338,0.92857,0.50063,0.20003,1.4973,4.61298,1.05088,0.000567785,0.000567785,0.000567785
23,108.722,1.49792,3.45052,0.93694,0.00369,1,0.33574,0.09255,1.72708,4.56086,1.02346,0.000586767,0.000586767,0.000586767
