epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.64421,1.8091,5.91583,1.04504,0.00102,0.5,0.04927,0.02468,1.3776,5.10895,0.98432,2.222e-05,2.222e-05,2.222e-05
2,16.24,1.88196,6.25812,1.17372,0.00104,0.5,0.10661,0.08635,1.28593,5.06383,0.94338,5.50001e-05,5.50001e-05,5.50001e-05
3,24.0497,1.64335,5.35138,0.96703,0.00105,0.5,0.19799,0.16641,1.26608,4.90194,0.91861,8.71202e-05,8.71202e-05,8.71202e-05
4,32.4704,1.5706,5.20076,1.02949,0.00106,0.5,0.20557,0.1599,1.24754,4.77869,0.89539,0.00011858,0.00011858,0.00011858
5,41.755,1.78381,5.97033,0.96476,0.00106,0.5,0.18411,0.14296,1.17823,4.69171,0.86532,0.000149381,0.000149381,0.000149381
6,51.6177,1.51461,4.51614,0.93171,0.00103,0.5,0.20886,0.12337,1.24376,4.82036,0.93366,0.000179521,0.000179521,0.000179521
7,60.2168,1.51174,4.36996,0.97476,0.00106,0.5,0.41417,0.24434,1.3546,4.78574,0.97265,0.000209001,0.000209001,0.000209001
8,68.1183,1.48285,4.06469,1.02057,0.00107,0.5,0.45583,0.261,1.36368,4.72716,0.98888,0.000237822,0.000237822,0.000237822
9,75.8727,1.72732,4.03878,0.98045,0.00118,0.5,0.41417,0.21119,1.28031,4.74586,1.00058,0.000265982,0.000265982,0.000265982
10,83.6817,1.66737,3.63127,1.0022,0.00121,0.5,0.34274,0.17887,1.22009,4.74179,1.00498,0.000293483,0.000293483,0.000293483
11,91.6796,1.66,3.85409,1.00608,0.00126,0.5,0.22327,0.15453,1.18183,4.68171,1.04634,0.000320324,0.000320324,0.000320324
12,99.4172,1.47693,3.0026,0.96033,0.00127,0.5,0.25885,0.16852,1.33741,4.70576,1.06929,0.000346504,0.000346504,0.000346504
13,107.01,1.44484,3.72023,0.98941,0.0012,0.5,0.435,0.21469,1.63665,4.71802,1.10314,0.000372025,0.000372025,0.000372025
14,114.58,1.3857,3.33777,1.01914,0.00118,0.5,0.22607,0.12926,1.42967,4.63585,1.08896,0.000396886,0.000396886,0.000396886
15,122.143,1.35838,3.44758,0.93093,0.00109,0.5,0.01096,0.00522,1.4986,4.732,1.03117,0.000421087,0.000421087,0.000421087
16,129.907,1.60791,3.13144,0.93526,0.00103,0.5,0.00535,0.00222,1.53313,4.6741,1.07009,0.000444628,0.000444628,0.000444628
17,137.826,1.54736,3.11325,0.99796,0.00029,0.25,0.06634,0.0511,1.53362,4.61032,1.07464,0.000467509,0.000467509,0.000467509
18,145.639,1.37443,3.49967,0.94798,0.00163,0.35,0.03088,0.00836,1.509,4.51018,1.09848,0.00048973,0.00048973,0.00048973
19,153.233,1.3666,2.94026,1.01089,0.00165,0.25,0.12571,0.05917,1.40088,4.41072,1.10709,0.000511291,0.000511291,0.000511291
20,160.852,1.56713,3.90874,0.96099,0.00162,0.25,0.11344,0.05699,1.37282,4.3869,1.09534,0.000532192,0.000532192,0.000532192
21,168.31,1.74161,3.81549,0.91355,0.0018,0.275,0.11636,0.06149,1.38823,4.35069,1.12394,0.000552434,0.000552434,0.000552434
22,175.723,1.39974,2.77337,0.97096,0.00246,0.45,0.20458,0.09584,1.38479,4.30924,1.12427,0.000572015,0.000572015,0.000572015
23,183.255,1.31437,3.01721,0.96705,0.0024,0.45,0.26125,0.13686,1.38697,4.23707,1.12133,0.000590936,0.000590936,0.000590936
24,190.73,1.52862,3.04527,0.97147,0.00326,0.725,0.41755,0.24427,1.2997,3.97178,1.12238,0.000609198,0.000609198,0.000609198
25,198.415,1.33939,2.95594,0.96864,0.00297,0.7,0.50533,0.27691,1.44543,4.03266,1.12793,0.0006268,0.0006268,0.0006268
26,205.963,1.41913,2.79543,1.01473,0.00232,0.45,0.33143,0.17447,1.46815,4.29951,1.10665,0.000643741,0.000643741,0.000643741
27,213.613,1.35093,2.80971,1.04209,0.00252,0.475,0.40628,0.23168,1.41925,4.23309,1.10955,0.000660023,0.000660023,0.000660023
28,221.276,1.61109,2.83054,1.00423,0.0028,0.5,0.44222,0.23102,1.45391,4.06446,1.09865,0.000675645,0.000675645,0.000675645
29,228.802,1.38085,2.47648,0.92883,0.0028,0.5,0.44222,0.23102,1.45391,4.06446,1.09865,0.000690606,0.000690606,0.000690606
30,236.503,1.45065,2.69494,0.97758,0.45906,0.5,0.47289,0.28181,1.39936,3.86059,1.13397,0.000704908,0.000704908,0.000704908
31,244.116,1.57574,3.33362,0.9555,0.80393,0.325,0.76385,0.39044,1.47862,3.69689,1.16744,0.00071855,0.00071855,0.00071855
32,251.783,1.5896,2.7681,1.01787,0.97043,0.25,0.75732,0.35993,1.59445,3.60725,1.20593,0.000731532,0.000731532,0.000731532
33,259.32,1.6851,2.99112,1.00754,0.97043,0.25,0.75732,0.35993,1.59445,3.60725,1.20593,0.000743854,0.000743854,0.000743854
34,267.243,1.41729,3.8376,0.96042,0.97077,0.25,0.77065,0.33848,1.58537,3.55911,1.21309,0.000748036,0.000748036,0.000748036
35,274.788,1.42272,2.45287,1.00847,0.64052,0.45,0.78166,0.33934,1.57378,3.36695,1.21192,0.000737037,0.000737037,0.000737037
36,282.248,1.44448,2.57808,0.92183,0.97266,0.25,0.81732,0.36985,1.52188,3.17162,1.14785,0.000726038,0.000726038,0.000726038
37,289.799,1.36853,2.34827,0.92438,0.97266,0.25,0.81732,0.36985,1.52188,3.17162,1.14785,0.00071504,0.00071504,0.00071504
38,297.511,1.39356,2.47043,0.94374,0.98395,0.25,0.80844,0.41056,1.50005,3.1156,1.11369,0.000704041,0.000704041,0.000704041
39,305.743,1.30344,2.82039,0.91809,0.96252,0.30507,0.75986,0.36069,1.50159,3.14665,1.09179,0.000693042,0.000693042,0.000693042
40,313.358,1.25122,2.11177,1.01108,0.88254,0.33218,0.7875,0.39285,1.56496,3.08176,1.07857,0.000682043,0.000682043,0.000682043
41,320.977,1.3001,3.38423,0.92832,0.88254,0.33218,0.7875,0.39285,1.56496,3.08176,1.07857,0.000671044,0.000671044,0.000671044
42,328.544,1.27671,3.1553,0.85041,0.86717,0.49429,0.91208,0.51574,1.49482,2.76499,1.14451,0.000660045,0.000660045,0.000660045
43,335.985,1.19558,2.18078,1.04271,0.71453,0.68345,0.87042,0.46169,1.56427,2.54133,1.16432,0.000649046,0.000649046,0.000649046
44,343.411,1.27702,2.31033,0.96172,0.69072,0.59336,0.8267,0.45971,1.5022,2.53462,1.1589,0.000638047,0.000638047,0.000638047
45,351.021,1.14641,2.08648,0.96918,0.69072,0.59336,0.8267,0.45971,1.5022,2.53462,1.1589,0.000627048,0.000627048,0.000627048
46,358.796,1.23541,2.3282,0.90123,0.72177,0.75,0.84731,0.49257,1.53122,2.40413,1.16588,0.000616049,0.000616049,0.000616049
47,366.413,1.17338,2.09644,0.95782,0.74719,0.75,0.84958,0.47084,1.60513,2.43241,1.14706,0.000605051,0.000605051,0.000605051
48,374.051,1.23599,2.01223,0.92457,0.76802,0.75,0.84958,0.46903,1.5493,2.42964,1.11284,0.000594052,0.000594052,0.000594052
49,381.466,1.25097,2.14255,0.89747,0.76802,0.75,0.84958,0.46903,1.5493,2.42964,1.11284,0.000583053,0.000583053,0.000583053
50,388.845,1.16541,2.11238,0.87629,0.7234,0.75,0.83708,0.47158,1.50848,2.33681,1.09822,0.000572054,0.000572054,0.000572054
