epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,309.107,1.1447,2.04696,0.99184,0.68665,0.45039,0.53788,0.32789,1.42587,2.90637,1.01291,0.000660045,0.000660045,0.000660045
43,316.473,1.19516,2.0037,1.00008,0.73101,0.57428,0.62208,0.36122,1.39318,2.56212,0.99644,0.000649046,0.000649046,0.000649046
44,323.76,1.10887,2.29686,0.88604,0.69533,0.71777,0.76708,0.41793,1.40662,2.25876,0.97084,0.000638047,0.000638047,0.000638047
45,331.276,1.35789,2.02303,0.98639,0.69533,0.71777,0.76708,0.41793,1.40662,2.25876,0.97084,0.000627048,0.000627048,0.000627048
46,338.67,1.21513,2.04572,0.93711,0.70174,0.75,0.92625,0.47583,1.37602,2.24013,0.9772,0.000616049,0.000616049,0.000616049
47,346.024,1.13522,2.09444,0.90794,0.77299,0.75,0.92625,0.45135,1.39633,2.22549,0.97576,0.000605051,0.000605051,0.000605051
48,353.324,1.16038,2.01005,0.92283,0.77091,0.68636,0.9125,0.51315,1.43147,2.22987,0.99883,0.000594052,0.000594052,0.000594052
49,360.685,1.05159,1.99841,0.93334,0.77091,0.68636,0.9125,0.51315,1.43147,2.22987,0.99883,0.000583053,0.000583053,0.000583053
50,368.06,1.17998,2.01509,0.91434,0.69394,0.75,0.92625,0.52243,1.47625,2.34233,1.08243,0.000572054,0.000572054,0.000572054
51,375.399,1.29741,2.41731,0.9148,0.79326,0.73621,0.85,0.45218,1.45545,2.27276,1.12246,0.000561055,0.000561055,0.000561055
52,382.706,1.22592,2.50274,0.97527,0.78147,0.6572,0.94786,0.58694,1.42324,2.14534,1.11138,0.000550056,0.000550056,0.000550056
53,390.037,1.34228,2.38729,1.03947,0.78147,0.6572,0.94786,0.58694,1.42324,2.14534,1.11138,0.000539057,0.000539057,0.000539057
54,397.364,1.18809,1.86857,0.95803,0.79845,0.70982,0.95375,0.62813,1.40192,2.01544,1.08765,0.000528058,0.000528058,0.000528058
55,404.732,1.17926,2.27346,0.90655,0.80162,0.75,0.94786,0.62198,1.38884,1.97324,1.04508,0.000517059,0.000517059,0.000517059
56,411.976,1.15413,1.77841,0.90283,0.73695,0.75,0.94786,0.59519,1.3768,1.94745,1.04948,0.00050606,0.00050606,0.00050606
57,419.264,1.08843,1.93843,0.93418,0.73695,0.75,0.94786,0.59519,1.3768,1.94745,1.04948,0.000495062,0.000495062,0.000495062
58,426.611,1.13533,1.9948,0.962,0.68976,0.75,0.92625,0.58956,1.29836,1.89649,1.06574,0.000484063,0.000484063,0.000484063
59,434.071,1.20778,2.16287,0.89427,0.67265,0.75,0.92625,0.58453,1.27871,1.87216,1.07366,0.000473064,0.000473064,0.000473064
60,441.521,1.08419,1.92052,0.89349,0.57895,1,0.92625,0.60631,1.30091,1.89107,1.1018,0.000462065,0.000462065,0.000462065
61,448.886,1.06635,2.00176,0.86633,0.57895,1,0.92625,0.60631,1.30091,1.89107,1.1018,0.000451066,0.000451066,0.000451066
62,456.288,1.05533,1.92755,0.95111,0.55122,1,0.92625,0.59855,1.30531,1.89463,1.12151,0.000440067,0.000440067,0.000440067
63,463.71,1.10033,1.79228,0.91881,0.56822,1,0.92625,0.5934,1.26969,1.88161,1.12682,0.000429068,0.000429068,0.000429068
64,471.008,1.00565,1.76469,0.94715,0.59258,1,0.9125,0.58352,1.27234,1.88347,1.11733,0.000418069,0.000418069,0.000418069
65,478.272,1.05038,1.76937,0.912,0.59258,1,0.9125,0.58352,1.27234,1.88347,1.11733,0.00040707,0.00040707,0.00040707
66,485.571,0.8763,1.68827,0.91143,0.56755,1,0.9125,0.56845,1.31984,1.87231,1.13095,0.000396071,0.000396071,0.000396071
67,492.901,1.10108,1.69966,0.95738,0.56489,1,0.9125,0.53817,1.38382,1.88794,1.13499,0.000385073,0.000385073,0.000385073
68,500.256,1.14543,1.87565,0.91792,0.56303,1,0.9125,0.54798,1.39678,1.84857,1.13912,0.000374074,0.000374074,0.000374074
69,507.644,0.97327,1.60855,0.90329,0.56303,1,0.9125,0.54798,1.39678,1.84857,1.13912,0.000363075,0.000363075,0.000363075
70,515.015,1.04591,1.71902,0.94952,0.55725,1,0.9125,0.55951,1.36968,1.84275,1.13838,0.000352076,0.000352076,0.000352076
71,522.661,1.02107,1.75421,0.90175,0.54683,1,0.95375,0.59775,1.2956,1.81014,1.12552,0.000341077,0.000341077,0.000341077
72,529.969,0.99573,1.86487,0.87456,0.55418,1,0.91208,0.56922,1.27576,1.80488,1.12072,0.000330078,0.000330078,0.000330078
73,537.219,1.01432,2.46212,0.81934,0.55418,1,0.91208,0.56922,1.27576,1.80488,1.12072,0.000319079,0.000319079,0.000319079
74,544.487,1.07006,1.697,0.88892,0.55627,1,0.88458,0.54062,1.32656,1.80288,1.12437,0.00030808,0.00030808,0.00030808
75,551.893,1.07122,1.80446,0.89017,0.62774,1,0.91208,0.59226,1.38627,1.78825,1.12246,0.000297081,0.000297081,0.000297081
76,559.198,1.06937,1.62977,0.90654,0.63936,1,0.90619,0.5654,1.39604,1.7424,1.12423,0.000286083,0.000286083,0.000286083
77,566.539,1.14091,2.32511,0.86569,0.63936,1,0.90619,0.5654,1.39604,1.7424,1.12423,0.000275084,0.000275084,0.000275084
78,573.896,1.06663,1.61052,0.92823,0.60178,1,0.90619,0.5689,1.37027,1.66516,1.1248,0.000264085,0.000264085,0.000264085
79,581.381,1.09339,1.80928,0.86912,0.58168,1,0.90619,0.57143,1.3198,1.61472,1.12059,0.000253086,0.000253086,0.000253086
80,588.733,0.95324,1.68403,0.87904,0.57511,1,0.90619,0.5964,1.28031,1.6029,1.10516,0.000242087,0.000242087,0.000242087
81,596.105,0.99724,1.75467,0.89323,0.57511,1,0.90619,0.5964,1.28031,1.6029,1.10516,0.000231088,0.000231088,0.000231088
82,603.539,1.09975,1.80071,0.96703,0.56836,1,0.90619,0.58934,1.28275,1.61016,1.09502,0.000220089,0.000220089,0.000220089
83,610.819,1.05205,1.59134,0.99637,0.56682,1,0.90619,0.58725,1.31062,1.63001,1.08797,0.00020909,0.00020909,0.00020909
84,618.136,1.06173,1.77904,0.96303,0.56833,1,0.90619,0.55435,1.32746,1.61676,1.08191,0.000198091,0.000198091,0.000198091
85,625.672,1.09761,1.48319,0.86924,0.56833,1,0.90619,0.55435,1.32746,1.61676,1.08191,0.000187092,0.000187092,0.000187092
86,633.201,0.92847,1.49319,0.86525,0.57764,1,0.90619,0.56046,1.35717,1.60656,1.08493,0.000176094,0.000176094,0.000176094
87,640.711,0.83803,1.5051,0.8438,0.58323,1,0.94786,0.5929,1.34998,1.60104,1.08292,0.000165095,0.000165095,0.000165095
88,648.384,1.00729,1.62997,0.86485,0.58717,1,0.94786,0.58977,1.34894,1.61144,1.08266,0.000154096,0.000154096,0.000154096
89,656.003,1.03063,1.94485,0.84548,0.58717,1,0.94786,0.58977,1.34894,1.61144,1.08266,0.000143097,0.000143097,0.000143097
90,663.546,1.00892,1.86958,0.86479,0.59854,1,0.94786,0.59798,1.3438,1.60834,1.07509,0.000132098,0.000132098,0.000132098
91,671.074,1.00467,3.41176,0.87262,0.62154,1,0.94786,0.62196,1.33925,1.60978,1.06627,0.000121099,0.000121099,0.000121099
92,678.471,0.89473,2.83348,0.93966,0.65484,1,0.94786,0.60757,1.34507,1.6177,1.0668,0.0001101,0.0001101,0.0001101
93,685.92,0.94403,2.91484,0.85027,0.65484,1,0.94786,0.60757,1.34507,1.6177,1.0668,9.91012e-05,9.91012e-05,9.91012e-05
94,693.303,1.16637,3.31934,1.00987,0.66929,1,0.95375,0.5907,1.35893,1.63069,1.06991,8.81023e-05,8.81023e-05,8.81023e-05
95,700.801,1.06379,3.37637,0.84458,0.68092,1,0.95375,0.59127,1.3696,1.63487,1.07197,7.71034e-05,7.71034e-05,7.71034e-05
96,708.114,1.08668,3.11906,0.87778,0.68937,1,0.95375,0.57702,1.3606,1.64142,1.06974,6.61045e-05,6.61045e-05,6.61045e-05
97,715.751,0.86569,2.70799,0.94299,0.68937,1,0.95375,0.57702,1.3606,1.64142,1.06974,5.51056e-05,5.51056e-05,5.51056e-05
98,723.159,1.04348,3.63261,0.89007,0.69417,1,0.95375,0.58809,1.35398,1.63012,1.06765,4.41067e-05,4.41067e-05,4.41067e-05
99,730.541,0.86119,4.4424,0.85812,0.69344,1,0.95375,0.61067,1.35088,1.61352,1.07246,3.31078e-05,3.31078e-05,3.31078e-05
100,737.934,0.91831,2.77087,0.88946,0.68846,1,0.95375,0.61037,1.33977,1.59633,1.06972,2.21089e-05,2.21089e-05,2.21089e-05
