epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3523,1.49371,5.41724,1.08828,0.00409,0.4,0.10988,0.08903,0.94882,4.16459,0.90363,4e-05,4e-05,4e-05
2,33.5815,1.30605,4.89595,0.99636,0.00436,0.4,0.27511,0.23814,0.92919,4.01422,0.83422,8.9109e-05,8.9109e-05,8.9109e-05
3,49.7421,1.39352,4.20936,1.00305,0.0054,0.4,0.21296,0.13474,1.0632,3.97214,0.92644,0.000137228,0.000137228,0.000137228
4,65.5672,1.1937,3.6638,0.96101,0.00499,0.4,0.2094,0.15483,1.01398,3.96384,0.89565,0.000184357,0.000184357,0.000184357
5,81.8622,1.24037,3.59546,0.95366,0.00528,0.4,0.22894,0.15226,1.06718,3.85862,0.89918,0.000230496,0.000230496,0.000230496
6,98.415,1.17191,3.02327,0.97146,0.00607,0.4,0.24443,0.16799,1.09993,3.8201,0.88804,0.000275645,0.000275645,0.000275645
7,116.345,1.21838,3.05376,0.96848,0.00761,0.4,0.21893,0.14844,1.13183,3.7862,0.87004,0.000319804,0.000319804,0.000319804
8,133.822,1.31772,2.8937,0.97142,0.00768,0.4,0.22426,0.16417,1.14678,3.82416,0.88556,0.000362973,0.000362973,0.000362973
9,153.563,1.17759,2.72191,0.93576,0.0085,0.475,0.27015,0.16509,1.17732,3.70626,0.89505,0.000405152,0.000405152,0.000405152
10,173.134,1.0731,2.54658,0.93049,0.00819,0.4875,0.32891,0.19632,1.21841,3.55689,0.89594,0.000446341,0.000446341,0.000446341
11,191.706,1.23039,2.7622,0.95982,0.00798,0.55,0.33012,0.21183,1.18006,3.69881,0.87135,0.00048654,0.00048654,0.00048654
12,209.808,1.10213,2.39213,0.93377,0.00746,0.775,0.39493,0.23839,1.21258,3.75948,0.96056,0.000525749,0.000525749,0.000525749
13,226.764,1.32413,2.41759,0.95142,0.00656,0.775,0.63285,0.36091,1.15802,3.45188,0.91276,0.000563968,0.000563968,0.000563968
14,244.614,1.19609,2.32562,0.97211,0.96312,0.14755,0.61256,0.37457,1.34089,2.96934,0.88516,0.000601197,0.000601197,0.000601197
15,262.666,1.10736,2.31878,0.94803,0.9556,0.03333,0.59987,0.34281,1.4393,3.27925,0.99122,0.000637436,0.000637436,0.000637436
16,280.431,1.15666,2.38743,0.92808,1,0.05756,0.60597,0.33037,1.36853,3.30605,1.01399,0.000672685,0.000672685,0.000672685
17,298.817,1.19228,2.40159,0.94699,0.0051,0.8,0.61062,0.36461,1.47505,3.58224,1.06809,0.000706944,0.000706944,0.000706944
18,317.674,1.18116,2.41466,0.9388,0.00512,0.8,0.63194,0.37833,1.30365,3.35758,1.04764,0.000740213,0.000740213,0.000740213
19,336.158,1.15136,2.02706,0.96413,0.78418,0.28889,0.6422,0.39227,1.25872,2.79101,0.91574,0.000772492,0.000772492,0.000772492
20,354.115,1.15469,2.01955,0.96744,0.6892,0.62446,0.61957,0.42847,1.13626,2.36303,0.90245,0.000803781,0.000803781,0.000803781
21,371.645,1.2051,2.36225,0.94298,0.74651,0.59784,0.65146,0.42257,1.28482,2.36446,0.97038,0.000802,0.000802,0.000802
22,391.37,1.16626,2.01552,0.9674,0.67188,0.47741,0.61444,0.35622,1.29922,2.63846,1.00436,0.0007921,0.0007921,0.0007921
23,409.4,1.16746,2.20051,0.96391,0.68403,0.5623,0.60194,0.37601,1.24945,2.6393,0.97269,0.0007822,0.0007822,0.0007822
24,426.939,1.103,1.907,0.93413,0.65447,0.62608,0.61987,0.41481,1.22226,2.35097,0.9616,0.0007723,0.0007723,0.0007723
25,444.066,1.08129,1.88261,0.94831,0.69633,0.68703,0.64277,0.42642,1.21874,2.22214,0.93936,0.0007624,0.0007624,0.0007624
26,461.531,1.16163,1.93558,0.9333,0.6935,0.58447,0.62437,0.42839,1.23605,2.31842,0.91861,0.0007525,0.0007525,0.0007525
27,479.471,1.29364,2.10088,0.97288,0.67562,0.52078,0.61348,0.41722,1.24212,2.43698,0.8949,0.0007426,0.0007426,0.0007426
28,497.241,1.10325,1.95364,0.94343,0.69455,0.76885,0.6161,0.426,1.19829,1.89699,0.95464,0.0007327,0.0007327,0.0007327
29,514.351,1.18443,1.91328,0.9534,0.69197,0.76721,0.63325,0.45544,1.13694,1.67244,0.9986,0.0007228,0.0007228,0.0007228
30,531.058,1.15708,1.94462,0.94749,0.6931,0.77153,0.67435,0.49242,1.09379,1.70384,0.97654,0.0007129,0.0007129,0.0007129
31,547.871,1.15902,1.79378,0.97791,0.71247,0.77917,0.65548,0.49335,1.02702,1.80915,0.94356,0.000703,0.000703,0.000703
32,564.703,1.15229,1.83868,0.93119,0.74451,0.76212,0.71332,0.49255,1.12351,1.84765,0.98083,0.0006931,0.0006931,0.0006931
33,581.347,1.06693,1.779,0.92098,0.68196,0.74125,0.68415,0.46229,1.16311,1.83751,0.99579,0.0006832,0.0006832,0.0006832
34,597.988,1.2174,1.92322,0.97516,0.67766,0.74444,0.75062,0.48284,1.08596,1.90516,0.98915,0.0006733,0.0006733,0.0006733
35,614.724,1.07361,1.80118,0.92565,0.66233,0.78008,0.78893,0.49357,1.05572,1.87856,0.98437,0.0006634,0.0006634,0.0006634
36,631.494,1.06345,1.70233,0.94306,0.93735,0.50451,0.80715,0.49282,1.17675,1.68521,0.98308,0.0006535,0.0006535,0.0006535
37,648.157,0.96697,1.54517,0.89714,0.69605,0.7415,0.79061,0.46844,1.12596,1.68178,1.00321,0.0006436,0.0006436,0.0006436
38,664.94,1.00833,1.75966,0.92014,0.75506,0.74164,0.77305,0.49737,1.07729,1.73614,1.02372,0.0006337,0.0006337,0.0006337
39,681.892,1.08921,1.6801,0.89218,0.79866,0.71604,0.7409,0.47381,1.06629,1.847,1.01224,0.0006238,0.0006238,0.0006238
40,698.623,1.0697,1.67794,0.93166,0.79319,0.73773,0.74712,0.4412,1.08581,1.80563,0.97872,0.0006139,0.0006139,0.0006139
41,715.293,0.98027,1.51642,0.89159,0.59457,0.97778,0.82205,0.5005,1.16691,1.52262,0.99767,0.000604,0.000604,0.000604
42,731.965,1.02062,1.47863,0.92312,0.61565,1,0.96259,0.54976,1.17391,1.37705,1.00482,0.0005941,0.0005941,0.0005941
43,748.664,0.99684,1.54216,0.92034,0.6266,0.96675,0.95985,0.51561,1.22928,1.38034,1.04115,0.0005842,0.0005842,0.0005842
