epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.00203,1.44299,5.61153,1.06928,0.00392,0.5,0.01642,0.01185,1.03349,4.4433,0.94919,2e-05,2e-05,2e-05
2,17.351,1.6994,5.58404,1.1255,0.00397,0.5,0.21125,0.16732,1.016,4.34853,0.87416,4.9505e-05,4.9505e-05,4.9505e-05
3,25.7292,1.68042,5.69893,1.07927,0.00423,0.5,0.25744,0.1988,1.04288,4.26764,0.86492,7.8416e-05,7.8416e-05,7.8416e-05
4,34.0671,1.36338,4.60367,0.97662,0.0044,0.5,0.25191,0.18629,1.04495,4.19954,0.85925,0.000106733,0.000106733,0.000106733
5,42.5093,1.2839,4.08251,0.96704,0.00488,0.5,0.26875,0.1807,1.13148,4.10791,0.87043,0.000134456,0.000134456,0.000134456
6,50.7811,1.29274,3.54413,0.96636,0.00531,0.5,0.23918,0.18701,1.04864,4.1263,0.86804,0.000161585,0.000161585,0.000161585
7,59.0044,1.26537,3.59063,0.97459,0.00552,0.5,0.26441,0.21189,1.03911,4.08589,0.87336,0.00018812,0.00018812,0.00018812
8,67.5401,1.32708,3.84356,0.97406,0.00586,0.5,0.26441,0.22899,0.9985,4.11951,0.87501,0.000214061,0.000214061,0.000214061
9,75.8989,1.25637,3.94946,0.96405,0.00633,0.5,0.26997,0.19411,1.04149,4.13425,0.8936,0.000239408,0.000239408,0.000239408
10,84.2272,1.38298,3.62402,0.96831,0.00657,0.5,0.28702,0.17536,1.10279,4.13088,0.91578,0.000264161,0.000264161,0.000264161
11,92.7429,1.2062,3.27978,0.96158,0.00642,0.5,0.32328,0.17541,1.15231,4.05453,0.92699,0.00028832,0.00028832,0.00028832
12,100.96,1.20806,2.86787,0.96398,0.00622,0.5,0.31733,0.21385,1.2554,3.97109,0.93747,0.000311885,0.000311885,0.000311885
13,109.336,1.41252,3.21777,0.96837,0.00594,0.5,0.32199,0.23591,1.18985,3.91559,0.92732,0.000334856,0.000334856,0.000334856
14,117.625,1.38733,3.34094,0.99824,0.00575,0.5,0.37702,0.28135,1.09281,3.9646,0.93364,0.000357233,0.000357233,0.000357233
