epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,259.77,1.37632,2.34346,0.95699,0.3385,1,0.845,0.48919,1.71923,3.50109,1.08178,0.000704644,0.000704644,0.000704644
43,265.751,1.37753,2.03795,0.96384,0.3385,1,0.845,0.48919,1.71923,3.50109,1.08178,0.000709599,0.000709599,0.000709599
44,271.824,1.33122,2.02651,0.96791,1,0.24664,0.80056,0.48247,1.66008,3.38327,1.11533,0.000713987,0.000713987,0.000713987
45,277.858,1.42488,2.62485,1.00103,1,0.24664,0.80056,0.48247,1.66008,3.38327,1.11533,0.00071781,0.00071781,0.00071781
46,283.953,1.36889,2.2344,0.95814,1,0.19802,0.76583,0.49074,1.60175,3.33649,1.12568,0.000721066,0.000721066,0.000721066
47,290.01,1.07032,2.07661,0.87796,1,0.19802,0.76583,0.49074,1.60175,3.33649,1.12568,0.000723757,0.000723757,0.000723757
48,296.059,1.28374,2.2951,0.86923,1,0.09526,0.78667,0.43154,1.75389,3.21704,1.21261,0.000725882,0.000725882,0.000725882
49,302.127,1.23873,2.41939,0.8818,1,0.09526,0.78667,0.43154,1.75389,3.21704,1.21261,0.000727441,0.000727441,0.000727441
50,308.225,1.3638,2.2424,0.97802,0.8515,0.49593,0.74435,0.41085,1.69644,2.94331,1.14599,0.000728434,0.000728434,0.000728434
51,314.409,1.21522,2.02501,0.95826,0.8515,0.49593,0.74435,0.41085,1.69644,2.94331,1.14599,0.000721645,0.000721645,0.000721645
52,320.515,1.26995,2.36701,0.89719,0.80029,0.73809,0.82833,0.47384,1.59089,2.61628,1.15891,0.000707498,0.000707498,0.000707498
53,326.702,1.33747,2.15816,0.9031,0.80029,0.73809,0.82833,0.47384,1.59089,2.61628,1.15891,0.000693351,0.000693351,0.000693351
54,332.797,1.31765,2.07834,0.9627,0.89792,0.74951,0.91167,0.54325,1.50573,2.50685,1.0751,0.000679204,0.000679204,0.000679204
55,338.877,1.21359,2.19825,0.9279,0.89792,0.74951,0.91167,0.54325,1.50573,2.50685,1.0751,0.000665057,0.000665057,0.000665057
56,344.926,1.16752,1.99835,0.91804,0.83827,0.79282,0.98346,0.63112,1.52505,2.54452,1.0352,0.000650909,0.000650909,0.000650909
57,351.082,1.08805,1.93036,0.91134,0.83827,0.79282,0.98346,0.63112,1.52505,2.54452,1.0352,0.000636762,0.000636762,0.000636762
58,357.308,1.11542,1.86962,0.91371,0.45674,0.5,0.74561,0.4261,1.54377,2.57083,1.03784,0.000622615,0.000622615,0.000622615
59,363.412,1.16651,1.87158,0.89412,0.45674,0.5,0.74561,0.4261,1.54377,2.57083,1.03784,0.000608468,0.000608468,0.000608468
60,369.548,1.06059,2.06095,0.93184,0.96983,0.5,0.7644,0.4092,1.57582,2.44939,1.06173,0.000594321,0.000594321,0.000594321
61,375.641,1.17214,1.91317,0.82244,0.96983,0.5,0.7644,0.4092,1.57582,2.44939,1.06173,0.000580174,0.000580174,0.000580174
62,381.683,1.21591,2.03436,0.92319,0.6164,0.93278,0.98667,0.52107,1.59592,2.23867,1.06889,0.000566027,0.000566027,0.000566027
63,387.973,1.14766,1.98603,0.96257,0.6164,0.93278,0.98667,0.52107,1.59592,2.23867,1.06889,0.00055188,0.00055188,0.00055188
64,394.108,1.24415,1.73943,0.87189,0.86132,0.83262,0.995,0.5813,1.55758,2.19465,1.04431,0.000537733,0.000537733,0.000537733
65,400.177,1.3191,1.94357,0.84782,0.86132,0.83262,0.995,0.5813,1.55758,2.19465,1.04431,0.000523586,0.000523586,0.000523586
66,406.309,1.32787,2.09288,1.02042,0.92149,0.98013,0.995,0.68183,1.57374,2.27124,1.03546,0.000509438,0.000509438,0.000509438
67,412.337,1.06178,1.64949,0.88327,0.92149,0.98013,0.995,0.68183,1.57374,2.27124,1.03546,0.000495291,0.000495291,0.000495291
68,418.445,1.1841,1.76319,0.91341,0.86455,0.88785,0.995,0.65641,1.67283,2.24109,1.05076,0.000481144,0.000481144,0.000481144
69,424.4,1.19502,1.84814,0.9014,0.86455,0.88785,0.995,0.65641,1.67283,2.24109,1.05076,0.000466997,0.000466997,0.000466997
70,430.386,1.09461,1.77437,0.90312,0.94418,0.66739,0.995,0.61304,1.73418,2.23112,1.07684,0.00045285,0.00045285,0.00045285
71,436.452,1.14132,1.73431,0.90436,0.94418,0.66739,0.995,0.61304,1.73418,2.23112,1.07684,0.000438703,0.000438703,0.000438703
72,442.488,1.24035,1.97041,0.92197,0.62549,0.9685,0.995,0.59908,1.72718,2.17515,1.08548,0.000424556,0.000424556,0.000424556
73,448.554,1.03747,1.63882,0.92459,0.62549,0.9685,0.995,0.59908,1.72718,2.17515,1.08548,0.000410409,0.000410409,0.000410409
74,454.645,1.05219,1.86507,0.8923,0.62873,1,0.995,0.59877,1.59847,2.04085,1.07237,0.000396262,0.000396262,0.000396262
75,460.952,1.03218,1.70537,0.85459,0.62873,1,0.995,0.59877,1.59847,2.04085,1.07237,0.000382115,0.000382115,0.000382115
76,467.199,1.27995,1.9985,0.9498,0.77787,0.94941,0.995,0.67301,1.49167,1.90613,1.05085,0.000367967,0.000367967,0.000367967
77,473.442,1.0345,1.77217,0.8669,0.77787,0.94941,0.995,0.67301,1.49167,1.90613,1.05085,0.00035382,0.00035382,0.00035382
78,480.876,1.15615,1.78415,0.90328,0.78274,1,0.91167,0.60312,1.5055,1.78981,1.03426,0.000339673,0.000339673,0.000339673
79,487.513,1.1587,1.87596,0.92679,0.78274,1,0.91167,0.60312,1.5055,1.78981,1.03426,0.000325526,0.000325526,0.000325526
80,494.055,1.02627,1.45162,0.82023,0.76532,1,0.91167,0.60051,1.60743,1.79625,1.0333,0.000311379,0.000311379,0.000311379
81,500.326,1.05282,1.73633,0.88606,0.76532,1,0.91167,0.60051,1.60743,1.79625,1.0333,0.000297232,0.000297232,0.000297232
82,506.604,1.03384,1.57766,0.8544,0.9787,0.93191,0.995,0.5883,1.6851,1.78659,1.04281,0.000283085,0.000283085,0.000283085
83,512.762,0.98209,1.63042,0.84685,0.9787,0.93191,0.995,0.5883,1.6851,1.78659,1.04281,0.000268938,0.000268938,0.000268938
84,519.24,0.99133,1.5416,0.86059,0.8274,1,0.995,0.53408,1.69133,1.84722,1.06165,0.000254791,0.000254791,0.000254791
85,525.526,1.07485,1.4845,0.87396,0.8274,1,0.995,0.53408,1.69133,1.84722,1.06165,0.000240644,0.000240644,0.000240644
86,531.704,1.02935,1.51407,0.87839,0.91012,1,0.995,0.53359,1.6302,1.88857,1.07012,0.000226497,0.000226497,0.000226497
87,537.739,1.09275,1.46385,0.94673,0.91012,1,0.995,0.53359,1.6302,1.88857,1.07012,0.000212349,0.000212349,0.000212349
88,543.75,0.96731,1.50266,0.84342,0.80514,1,0.995,0.53211,1.56168,1.805,1.08387,0.000198202,0.000198202,0.000198202
89,550.469,1.03118,1.64919,0.86043,0.80514,1,0.995,0.53211,1.56168,1.805,1.08387,0.000184055,0.000184055,0.000184055
90,556.962,1.04356,1.5587,0.88534,0.90715,1,0.995,0.56392,1.54052,1.71381,1.0944,0.000169908,0.000169908,0.000169908
91,562.958,0.9009,3.29023,0.90549,0.90715,1,0.995,0.56392,1.54052,1.71381,1.0944,0.000155761,0.000155761,0.000155761
92,569.221,1.11243,4.17744,0.90752,0.93004,1,0.995,0.57591,1.5685,1.69301,1.09375,0.000141614,0.000141614,0.000141614
93,575.258,0.99172,4.46649,0.86323,0.93004,1,0.995,0.57591,1.5685,1.69301,1.09375,0.000127467,0.000127467,0.000127467
94,581.205,1.16033,3.6127,0.84086,0.9492,1,0.995,0.58142,1.58292,1.65264,1.09769,0.00011332,0.00011332,0.00011332
95,587.343,1.05315,3.39112,0.96728,0.9492,1,0.995,0.58142,1.58292,1.65264,1.09769,9.91726e-05,9.91726e-05,9.91726e-05
96,593.457,1.01674,2.88852,0.83475,0.95858,1,0.995,0.57625,1.57455,1.60629,1.09828,8.50255e-05,8.50255e-05,8.50255e-05
97,599.363,1.16957,4.52767,0.86327,0.95858,1,0.995,0.57625,1.57455,1.60629,1.09828,7.08784e-05,7.08784e-05,7.08784e-05
98,605.222,1.10137,3.49207,0.89283,0.96947,1,0.995,0.57986,1.56791,1.56472,1.09339,5.67313e-05,5.67313e-05,5.67313e-05
99,611.14,0.92875,2.99393,0.84393,0.96947,1,0.995,0.57986,1.56791,1.56472,1.09339,4.25842e-05,4.25842e-05,4.25842e-05
100,617.226,1.10454,2.71283,0.88259,0.9739,1,0.995,0.57519,1.56709,1.54838,1.08988,2.84371e-05,2.84371e-05,2.84371e-05
